year,state,party,candidate,classification
1952,Alabama,dem,Stevenson,Base Democratic
1952,Alaska,dem,Stevenson,NA
1952,Arizona,dem,Stevenson,Battleground
1952,Arkansas,dem,Stevenson,Base Democratic
1952,California,dem,Stevenson,Battleground
1952,Colorado,dem,Stevenson,Base Republican
1952,Connecticut,dem,Stevenson,Battleground
1952,D. C.,dem,Stevenson,NA
1952,Delaware,dem,Stevenson,Base Republican
1952,Florida,dem,Stevenson,Base Democratic
1952,Georgia,dem,Stevenson,Base Democratic
1952,Hawaii,dem,Stevenson,NA
1952,Idaho,dem,Stevenson,Base Republican
1952,Illinois,dem,Stevenson,Battleground
1952,Indiana,dem,Stevenson,Base Republican
1952,Iowa,dem,Stevenson,Base Republican
1952,Kansas,dem,Stevenson,Base Republican
1952,Kentucky,dem,Stevenson,Battleground
1952,Louisiana,dem,Stevenson,Base Democratic
1952,Maine,dem,Stevenson,Base Republican
1952,Maryland,dem,Stevenson,Base Republican
1952,Massachusetts,dem,Stevenson,Battleground
1952,Michigan,dem,Stevenson,Battleground
1952,Minnesota,dem,Stevenson,Battleground
1952,Mississippi,dem,Stevenson,Base Democratic
1952,Missouri,dem,Stevenson,Battleground
1952,Montana,dem,Stevenson,Battleground
1952,Nebraska,dem,Stevenson,Base Republican
1952,Nevada,dem,Stevenson,Battleground
1952,New Hampshire,dem,Stevenson,Base Republican
1952,New Jersey,dem,Stevenson,Battleground
1952,New Mexico,dem,Stevenson,Base Democratic
1952,New York,dem,Stevenson,Battleground
1952,North Carolina,dem,Stevenson,Base Democratic
1952,North Dakota,dem,Stevenson,Base Republican
1952,Ohio,dem,Stevenson,Battleground
1952,Oklahoma,dem,Stevenson,Base Democratic
1952,Oregon,dem,Stevenson,Base Republican
1952,Pennsylvania,dem,Stevenson,Battleground
1952,Rhode Island,dem,Stevenson,Base Democratic
1952,South Carolina,dem,Stevenson,Base Democratic
1952,South Dakota,dem,Stevenson,Base Republican
1952,Tennessee,dem,Stevenson,Base Democratic
1952,Texas,dem,Stevenson,Battleground
1952,Utah,dem,Stevenson,Battleground
1952,Vermont,dem,Stevenson,Base Republican
1952,Virginia,dem,Stevenson,Base Democratic
1952,Washington,dem,Stevenson,Battleground
1952,West Virginia,dem,Stevenson,Base Democratic
1952,Wisconsin,dem,Stevenson,Battleground
1952,Wyoming,dem,Stevenson,Battleground
1952,Alabama,rep,Eisenhower,Base Democratic
1952,Alaska,rep,Eisenhower,NA
1952,Arizona,rep,Eisenhower,Base Democratic
1952,Arkansas,rep,Eisenhower,Base Democratic
1952,California,rep,Eisenhower,Base Republican
1952,Colorado,rep,Eisenhower,Base Republican
1952,Connecticut,rep,Eisenhower,Battleground
1952,D. C.,rep,Eisenhower,NA
1952,Delaware,rep,Eisenhower,Battleground
1952,Florida,rep,Eisenhower,Base Democratic
1952,Georgia,rep,Eisenhower,Base Democratic
1952,Hawaii,rep,Eisenhower,NA
1952,Idaho,rep,Eisenhower,Base Republican
1952,Illinois,rep,Eisenhower,Base Republican
1952,Indiana,rep,Eisenhower,Battleground
1952,Iowa,rep,Eisenhower,Base Republican
1952,Kansas,rep,Eisenhower,Base Republican
1952,Kentucky,rep,Eisenhower,Battleground
1952,Louisiana,rep,Eisenhower,Base Democratic
1952,Maine,rep,Eisenhower,Base Republican
1952,Maryland,rep,Eisenhower,Battleground
1952,Massachusetts,rep,Eisenhower,Battleground
1952,Michigan,rep,Eisenhower,Battleground
1952,Minnesota,rep,Eisenhower,Battleground
1952,Mississippi,rep,Eisenhower,Base Democratic
1952,Missouri,rep,Eisenhower,Battleground
1952,Montana,rep,Eisenhower,Battleground
1952,Nebraska,rep,Eisenhower,Base Republican
1952,Nevada,rep,Eisenhower,Battleground
1952,New Hampshire,rep,Eisenhower,Base Republican
1952,New Jersey,rep,Eisenhower,Battleground
1952,New Mexico,rep,Eisenhower,Base Democratic
1952,New York,rep,Eisenhower,Battleground
1952,North Carolina,rep,Eisenhower,Base Democratic
1952,North Dakota,rep,Eisenhower,Base Republican
1952,Ohio,rep,Eisenhower,Battleground
1952,Oklahoma,rep,Eisenhower,Base Republican
1952,Oregon,rep,Eisenhower,Base Republican
1952,Pennsylvania,rep,Eisenhower,Battleground
1952,Rhode Island,rep,Eisenhower,Base Democratic
1952,South Carolina,rep,Eisenhower,Base Democratic
1952,South Dakota,rep,Eisenhower,Base Republican
1952,Tennessee,rep,Eisenhower,Base Democratic
1952,Texas,rep,Eisenhower,Base Democratic
1952,Utah,rep,Eisenhower,Battleground
1952,Vermont,rep,Eisenhower,Base Republican
1952,Virginia,rep,Eisenhower,Base Democratic
1952,Washington,rep,Eisenhower,Battleground
1952,West Virginia,rep,Eisenhower,Battleground
1952,Wisconsin,rep,Eisenhower,Battleground
1952,Wyoming,rep,Eisenhower,Battleground
1956,Alabama,dem,Stevenson,Base Democratic
1956,Alaska,dem,Stevenson,NA
1956,Arizona,dem,Stevenson,Battleground
1956,Arkansas,dem,Stevenson,Base Democratic
1956,California,dem,Stevenson,Battleground
1956,Colorado,dem,Stevenson,Base Republican
1956,Connecticut,dem,Stevenson,Battleground
1956,D. C.,dem,Stevenson,NA
1956,Delaware,dem,Stevenson,Battleground
1956,Florida,dem,Stevenson,Base Republican
1956,Georgia,dem,Stevenson,Base Democratic
1956,Hawaii,dem,Stevenson,NA
1956,Idaho,dem,Stevenson,Battleground
1956,Illinois,dem,Stevenson,Battleground
1956,Indiana,dem,Stevenson,Battleground
1956,Iowa,dem,Stevenson,Base Republican
1956,Kansas,dem,Stevenson,Base Republican
1956,Kentucky,dem,Stevenson,Battleground
1956,Louisiana,dem,Stevenson,Base Democratic
1956,Maine,dem,Stevenson,Base Republican
1956,Maryland,dem,Stevenson,Base Republican
1956,Massachusetts,dem,Stevenson,Battleground
1956,Michigan,dem,Stevenson,Battleground
1956,Minnesota,dem,Stevenson,Battleground
1956,Mississippi,dem,Stevenson,Base Democratic
1956,Missouri,dem,Stevenson,Base Democratic
1956,Montana,dem,Stevenson,Battleground
1956,Nebraska,dem,Stevenson,Base Republican
1956,Nevada,dem,Stevenson,Battleground
1956,New Hampshire,dem,Stevenson,Base Republican
1956,New Jersey,dem,Stevenson,Base Republican
1956,New Mexico,dem,Stevenson,Battleground
1956,New York,dem,Stevenson,Battleground
1956,North Carolina,dem,Stevenson,Base Democratic
1956,North Dakota,dem,Stevenson,Battleground
1956,Ohio,dem,Stevenson,Battleground
1956,Oklahoma,dem,Stevenson,Base Democratic
1956,Oregon,dem,Stevenson,Battleground
1956,Pennsylvania,dem,Stevenson,Battleground
1956,Rhode Island,dem,Stevenson,Base Democratic
1956,South Carolina,dem,Stevenson,Base Democratic
1956,South Dakota,dem,Stevenson,Base Republican
1956,Tennessee,dem,Stevenson,Base Democratic
1956,Texas,dem,Stevenson,Battleground
1956,Utah,dem,Stevenson,Battleground
1956,Vermont,dem,Stevenson,Base Republican
1956,Virginia,dem,Stevenson,Base Democratic
1956,Washington,dem,Stevenson,Battleground
1956,West Virginia,dem,Stevenson,Base Democratic
1956,Wisconsin,dem,Stevenson,Base Republican
1956,Wyoming,dem,Stevenson,Battleground
1956,Alabama,rep,Eisenhower,Base Democratic
1956,Alaska,rep,Eisenhower,NA
1956,Arizona,rep,Eisenhower,Base Republican
1956,Arkansas,rep,Eisenhower,Base Democratic
1956,California,rep,Eisenhower,Battleground
1956,Colorado,rep,Eisenhower,Base Republican
1956,Connecticut,rep,Eisenhower,Battleground
1956,D. C.,rep,Eisenhower,NA
1956,Delaware,rep,Eisenhower,Battleground
1956,Florida,rep,Eisenhower,Battleground
1956,Georgia,rep,Eisenhower,Base Democratic
1956,Hawaii,rep,Eisenhower,NA
1956,Idaho,rep,Eisenhower,Base Republican
1956,Illinois,rep,Eisenhower,Battleground
1956,Indiana,rep,Eisenhower,Base Republican
1956,Iowa,rep,Eisenhower,Base Republican
1956,Kansas,rep,Eisenhower,Base Republican
1956,Kentucky,rep,Eisenhower,Battleground
1956,Louisiana,rep,Eisenhower,Base Democratic
1956,Maine,rep,Eisenhower,Base Republican
1956,Maryland,rep,Eisenhower,Battleground
1956,Massachusetts,rep,Eisenhower,Battleground
1956,Michigan,rep,Eisenhower,Battleground
