"ST","GEOID","NAME","STATEFP","state_name","county_name","votes_gop","votes_dem","total_votes","diff","per_gop","per_dem","per_point_diff"
"IA","19107","Keokuk",19,"Iowa","Keokuk County",3797,1414,5303,2383,0.716009805770319,0.26664152366585,0.449368282104469
"IA","19189","Winnebago",19,"Iowa","Winnebago County",3707,2135,5970,1572,0.620938023450586,0.357621440536013,0.263316582914573
"KS","20093","Kearny",20,"Kansas","Kearny County",1134,255,1413,879,0.802547770700637,0.180467091295117,0.62208067940552
"KS","20123","Mitchell",20,"Kansas","Mitchell County",2454,547,3039,1907,0.807502467917078,0.179993418887792,0.627509049029286
"KS","20187","Stanton",20,"Kansas","Stanton County",607,147,767,460,0.791395045632334,0.191655801825293,0.59973924380704
"KY","21005","Anderson",21,"Kentucky","Anderson County",9661,3348,13254,6313,0.72891202655802,0.252602987777275,0.476309038780745
"KY","21029","Bullitt",21,"Kentucky","Bullitt County",30708,10552,41998,20156,0.731177675127387,0.251250059526644,0.479927615600743
"KY","21049","Clark",21,"Kentucky","Clark County",11811,6004,18139,5807,0.651138431005017,0.330999503831523,0.320138927173494
"KY","21059","Daviess",21,"Kentucky","Daviess County",31025,17286,49287,13739,0.629476332501471,0.350721285531682,0.278755046969789
"KY","21063","Elliott",21,"Kentucky","Elliott County",2246,712,2995,1534,0.74991652754591,0.237729549248748,0.512186978297162
"KY","21093","Hardin",21,"Kentucky","Hardin County",29832,18101,48941,11731,0.609550274820702,0.369853497067898,0.239696777752804
"KY","21097","Harrison",21,"Kentucky","Harrison County",6334,2400,8859,3934,0.71497911728186,0.270910938029123,0.444068179252737
"KY","21107","Hopkins",21,"Kentucky","Hopkins County",15757,5439,21512,10318,0.732474897731499,0.252835626626999,0.4796392711045
"KY","21131","Leslie",21,"Kentucky","Leslie County",4321,446,4813,3875,0.897776854352795,0.0926656970704342,0.80511115728236
"KY","21147","McCreary",21,"Kentucky","McCreary County",5664,725,6438,4939,0.87977632805219,0.112612612612613,0.767163715439578
"KY","21151","Madison",21,"Kentucky","Madison County",27356,15581,43957,11775,0.622335464203654,0.354460040494119,0.267875423709534
"KY","21155","Marion",21,"Kentucky","Marion County",6113,2722,8928,3391,0.68469982078853,0.304883512544803,0.379816308243728
"KY","21175","Morgan",21,"Kentucky","Morgan County",4301,1175,5544,3126,0.775793650793651,0.211940836940837,0.563852813852814
