PNR,date,flightnum,Exporter,Importer,Priority,Reason,Latitude_exp,Longitude_exp,Latitude_imp,Longitude_imp,Millions,country,distance,st
3UJM2A,12/10/20,3559,BWI,PIT,SA,LEISURE,39.1754,-76.668297,40.49150085,-80.23290253,100,United States,,MD
,12/10/20,2531,LAS,BWI,SA,LEISURE,36.08010101,-115.1520004,39.1754,-76.668297,100,United States,,NV
4WCU6X,12/6/20,1468,SAN,LAS,SA,LEISURE,32.73360062,-117.1900024,36.08010101,-115.1520004,100,United States,,CA
3QOHUD,12/3/20,4690,PIT,DEN,SA,LEISURE,40.49150085,-80.23290253,39.86169815,-104.6729965,100,United States,,PA
,12/3/20,2986,DEN,BUR,SA,LEISURE,39.86169815,-104.6729965,34.1980854,-118.3592807,100,United States,,CO
KFIYK3,8/26/20,1734,SNA,LAS,SA,LEISURE,33.67570114,-117.8679962,36.08010101,-115.1520004,100,United States,,CA
,8/26/20,1089,LAS,PIT,SA,LEISURE,36.08010101,-115.1520004,40.49150085,-80.23290253,100,United States,,NV
P8N8GB,8/20/20,101,DEN,SAN,SA,LEISURE,39.86169815,-104.6729965,32.73360062,-117.1900024,100,United States,,CO
,8/20/20,1515,PIT,DEN,SA,LEISURE,40.49150085,-80.23290253,39.86169815,-104.6729965,100,United States,,PA
L8FV5L,5/6/20,387,LAS,SNA,SA,LEISURE,36.08010101,-115.1520004,33.67570114,-117.8679962,100,United States,,NV
NULHYA,5/3/20,1228,LAS,SNA,SA,LEISURE,36.08010101,-115.1520004,33.67570114,-117.8679962,100,United States,,NV
WIMPF4,5/1/20,1657,SNA,LAS,SA,LEISURE,33.67570114,-117.8679962,36.08010101,-115.1520004,100,United States,,CA
T5IRJP,4/27/20,1481,LAS,SNA,SA,LEISURE,36.08010101,-115.1520004,33.67570114,-117.8679962,100,United States,,NV
J2V2IL,3/6/20,1353,LAS,SNA,SA,LEISURE,36.08010101,-115.1520004,33.67570114,-117.8679962,100,United States,,NV
MPW7BU,3/3/20,696,SNA,LAS,SA,LEISURE,33.67570114,-117.8679962,36.08010101,-115.1520004,100,United States,,CA
PLA94U,2/17/20,40,LAS,SNA,SA,LEISURE,36.08010101,-115.1520004,33.67570114,-117.8679962,100,United States,,NA
,2/17/20,1338,SNA,LAS,SA,LEISURE,33.67570114,-117.8679962,36.08010101,-115.1520004,100,United States,,CA
VQ3NO9,1/4/20,3900,PIT,LAS,SA,LEISURE,40.49150085,-80.23290253,36.08010101,-115.1520004,100,United States,,PA
,1/4/20,6731,LAS,LAX,SA,LEISURE,36.08010101,-115.1520004,33.94250107,-118.4079971,100,United States,,NV
