PNR,date,flightnum,Exporter,Importer,Priority,Reason
UAUCKG,12/21/19,4464,LAS,PIT,SA,LEISURE
SCEEUA,12/20/19,2553,SNA,LAS,SA,LEISURE
V485N2,12/16/19,2956,LAS,SNA,SA,LEISURE
RS599Z,12/15/19,5322,SNA,LAS,SA,LEISURE
JHGIIS,12/12/19,3904,PHX,SNA,SA,LEISURE
RRJF7O,12/11/19,116,BOS,DEN,SA,LEISURE
,12/11/19,2583,DEN,SNA,SA,LEISURE
W6YTPB,12/8/19,2778,HOU,BOS,SA,LEISURE
S26OKS,12/6/19,2535,SNA,DEN,SA,LEISURE
T7ZSKI,12/6/19,677,DEN,HOU,SA,LEISURE
JBR4H8,11/29/19,3400,PDX,OAK,SA,LEISURE
,11/29/19,2745,OAK,SNA,SA,LEISURE
TZWX43,11/27/19,1938,SNA,OAK,SA,LEISURE
,11/27/19,1710,OAK,PDX,SA,LEISURE
T9DNMR,11/18/19,1824,LAX,ABQ,SA,LEISURE
UPURPW,11/18/19,982,LAS,LAX,SA,LEISURE
WARK89,11/15/19,527,DEN,SNA,SA,LEISURE
,11/15/19,599,LGA,DEN,SA,LEISURE
POREYV,11/8/19,2469,LAS,PIT,SA,LEISURE
,11/8/19,2301,SNA,LAS,SA,LEISURE
LVEHOS,10/28/19,2337,LAS,SNA,SA,LEISURE
WC7A3O,10/27/19,3415,CMH,LAS,SA,LEISURE
LWU8UD,10/24/19,687,LAS,CMH,SA,LEISURE
LK6G7J,10/23/19,2405,SNA,LAS,SA,LEISURE
PC7CUV,10/20/19,3405,MDW,DEN,SA,LEISURE
,10/20/19,5004,BOS,MDW,SA,LEISURE
,10/20/19,4138,DEN,SNA,SA,LEISURE
SOSF92,10/17/19,294,HOU,BOS,SA,LEISURE
,10/17/19,331,SNA,HOU,SA,LEISURE
T6LQ8R,9/28/19,4348,LAS,SNA,SA,LEISURE
JYH97Z,9/25/19,192,SNA,LAS,SA,LEISURE
SYH753,9/23/19,285,LAS,SNA,SA,LEISURE
LUY949,9/21/19,5135,SNA,LAS,SA,LEISURE
L3O5K6,9/16/19,1955,LAS,SNA,SA,LEISURE
TOT9MD,9/14/19,4350,SNA,LAS,SA,LEISURE
RU2G4K,8/26/19,1209,LAS,SNA,SA,LEISURE
OX3L8P,8/25/19,3112,PNS,DAL,SA,LEISURE
PIWI9I,8/25/19,1730,DAL,PHX,SA,LEISURE
PZ7KRK,8/25/19,4300,PHX,LAS,SA,LEISURE
QH6NZA,8/21/19,1702,SNA,LAS,SA,LEISURE
L9RHAH,8/10/19,4440,OAK,SNA,SA,LEISURE
VZUAQI,8/9/19,1712,SNA,LAS,SA,LEISURE
,8/9/19,260,LAS,LAX,SA,LEISURE
,8/9/19,1925,LAX,SFO,SA,LEISURE
NIF4IC,8/6/19,865,LAS,SAN,SA,LEISURE
SGDEHI,8/3/19,4768,SAN,LAS,SA,LEISURE
WOAINK,7/31/19,712,LAS,SNA,SA,LEISURE
QJN43M,7/29/19,149,GEG,LAS,SA,LEISURE
RGTJ73,7/29/19,1257,LAS,DEN,SA,LEISURE
RMDS6T,7/29/19,887,DEN,LAS,SA,LEISURE
SLS23S,7/27/19,2830,LAS,GEG,SA,LEISURE
,7/27/19,3460,SNA,LAS,SA,LEISURE
J35IFK,7/22/19,1453,OAK,SNA,SA,LEISURE
VTZ79S,7/22/19,1453,LAS,OAK,SA,LEISURE
USVTM9,7/21/19,2725,SAT,LAS,SA,LEISURE
UC8GVU,7/18/19,2514,LAS,SAT,SA,LEISURE
UC9CUP,7/17/19,6604,SNA,LAS,SA,LEISURE
JHB5PK,7/8/19,1793,LAS,SNA,SA,LEISURE
W6AZFT,7/3/19,438,SNA,LAS,SA,LEISURE
P88VOS,6/4/19,169,PHX,SNA,SA,LEISURE
,6/4/19,1598,HOU,PHX,SA,LEISURE
QCYORS,5/30/19,2263,MSY,HOU,SA,LEISURE
,5/30/19,474,TPA,MSY,SA,LEISURE
N7QLH7,5/29/19,142,LAS,SAT,SA,LEISURE
,5/29/19,142,SAT,TPA,SA,LEISURE
LXEOGF,5/28/19,1502,SNA,LAS,SA,LEISURE
PNRUCZ,5/20/19,2187,LAS,SNA,SA,LEISURE
L6GCMS,5/19/19,4533,SNA,LAS,SA,LEISURE
JQBIGE,5/18/19,1708,SJC,LAX,SA,LEISURE
